,,,,,,,
PL,NAME,YEAR,TEAM,Avg. Mile,TIME,SCORE,
0,James Hyland,SR-4,Tennessee Tech,,DNF,,LIVE IN LOU
0,Miceal McCaul,SR-4,Tennessee Tech,,DNF,,LIVE IN LOU
,,,,,,,LIVE IN LOU
,,,,,,,LIVE IN LOU
,,,,,,,LIVE IN LOU
PL,NAME,YEAR,TEAM,Avg. Mile,TIME,SCORE,LIVE IN LOU
1,Kennedy Bett,FR-1,Cumberland (Tenn.),04:55.0,24:26.3,1,LIVE IN LOU
2,Dominic Malel,FR-1,Campbellsville,04:55.7,24:29.9,2,LIVE IN LOU
3,Ronan O'Neill,JR-3,Southern Wesleyan,04:58.2,24:42.5,3,LIVE IN LOU
4,Trevor Nolan,SR-4,Xavier (Ohio),04:58.9,24:45.7,4,LIVE IN LOU
5,Josh Otten,JR-3,Detroit Mercy,04:59.5,24:48.8,5,LIVE IN LOU
6,Cesc Boix,FR-1,Eastern Kentucky,05:00.0,24:51.6,,LIVE IN LOU
7,Jacob Kocis,SR-4,Midway,05:01.1,24:56.8,6,LIVE IN LOU
8,Moritz Kleesiek,SO-2,Charlotte,05:02.3,25:03.1,7,LIVE IN LOU
9,Mylan Nocton,JR-3,Indiana East,05:02.9,25:06.0,8,LIVE IN LOU
10,Samuel Lea,SO-2,Evansville,05:03.1,25:06.9,9,LIVE IN LOU
11,Cooper Sorsen,JR-3,Ferris State,05:03.2,25:07.1,10,LIVE IN LOU
12,Rafael Rodriguez,SO-2,Evansville,05:04.1,25:11.8,11,LIVE IN LOU
